City_ID,City,Lat,Lng,Max Temp(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Country,Date
128,maceio,-9.6658,-35.7353,24.689999999999998,100,40,2.57,BR,1702004429
129,portage la prairie,49.9728,-98.2926,4.050000000000011,72,100,3.6,CA,1702004357
130,hawaiian paradise park,19.5933,-154.9731,24.460000000000036,83,1,0.45,US,1702004482
131,saint-philippe,-21.3585,55.7679,24.77000000000004,85,61,3.71,RE,1702004483
132,sao francisco,-15.9486,-44.8644,22.83000000000004,52,4,1.7,BR,1702004484
133,weyburn,49.6668,-103.8511,1.1200000000000045,93,100,7.2,CA,1702004484
134,east london,-33.0153,27.9116,20.220000000000027,81,13,2.86,ZA,1702004485
135,punta arenas,-53.15,-70.9167,8.060000000000002,81,0,2.57,CL,1702004485
136,nagireddipalli,14.2667,79.1,25.430000000000007,83,95,1.73,IN,1702004485
137,lihue,21.9789,-159.3672,24.140000000000043,82,70,0.27,US,1702004486
138,guane,22.2025,-84.0875,19.57000000000005,76,92,2.78,CU,1702004486
139,shalkar,47.8288,59.6258,-11.509999999999991,49,100,7.51,KZ,1702004487
140,coaldale,49.7167,-112.6185,0.5500000000000114,93,100,1.54,CA,1702004487
141,pitimbu,-7.4706,-34.8086,27.33000000000004,80,98,4.96,BR,1702004488
142,suva,-18.1416,178.4415,25.710000000000036,78,75,1.54,FJ,1702004488
143,karbala,32.616,44.0249,16.75,44,79,2.15,IQ,1702004488
144,chabahar,25.2919,60.643,22.420000000000016,55,0,2.53,IR,1702004489
145,mount isa,-20.7333,139.5,36.870000000000005,18,0,2.57,AU,1702004489
146,san luis de la loma,17.2706,-100.8939,25.400000000000034,79,11,1.65,MX,1702004489
147,jinchang,38.4953,102.1739,3.9399999999999977,24,0,2.2,CN,1702004490
148,flin flon,54.7682,-101.865,-3.8799999999999955,94,100,2.31,CA,1702004490
149,gorontalo,0.5412,123.0595,29.450000000000045,79,94,1.57,ID,1702004491
150,bac lieu,9.285,105.7244,28.629999999999995,72,96,6.37,VN,1702004491
151,payyannur,12.1,75.2,27.180000000000007,74,90,1.05,IN,1702004492
152,enewetak,11.3474,162.3373,27.810000000000002,78,91,8.59,MH,1702004492
153,la ronge,55.1001,-105.2842,-6.859999999999957,93,0,3.6,CA,1702004493
154,nogliki,51.8333,143.1667,-6.479999999999961,94,100,6.71,RU,1702004432
155,coxen hole,16.3244,-86.5366,25.600000000000023,83,40,5.14,HN,1702004493
156,as samawah,31.332,45.2944,17.920000000000016,33,11,2.53,IQ,1702004493
157,weno,7.4515,151.8468,28.970000000000027,79,100,4.63,FM,1702004494
158,broken hill,-31.95,141.4333,40.879999999999995,12,87,14.64,AU,1702004494
159,hadsund,56.7148,10.1168,0.5300000000000296,88,100,3.88,DK,1702004495
160,nouadhibou,20.931,-17.0347,20.99000000000001,64,12,7.2,MR,1702004496
161,iqaluit,63.7506,-68.5145,-11.149999999999977,79,20,4.63,CA,1702004497
162,bako,5.7833,36.5667,18.80000000000001,76,80,1.1,ET,1702004498
163,malango,-2.9627,119.9001,25.58000000000004,75,100,0.57,ID,1702004499
164,awjilah,29.1081,21.2869,13.490000000000009,48,0,6.0,LY,1702004500
165,ciudad lazaro cardenas,17.9583,-102.2,25.420000000000016,78,6,1.13,MX,1702004500
